Test Case ID,Module,Title,Requirement ID,Priority,Suite Type,Preconditions,Test Data,Test Steps,Expected Result
FunctionalTestCase-REG-001,User Registration,Registration form displays all required fields,REQ-S5-REG-001,P2,Smoke,User is not logged in,,"1. Navigate to /auth/register | 2. Observe the registration form","All required fields displayed: First name Last name DOB Street Postal code City State Country Phone Email Password. Submit button visible."
FunctionalTestCase-REG-002,User Registration,Password requirements list shown on password field focus,"REQ-S5-REG-002, REQ-BR-013",P2,Regression,User is on registration page,,"1. Navigate to /auth/register | 2. Click Password field","Requirements list shown: 8+ chars upper+lower number special character."
FunctionalTestCase-REG-003,User Registration,Password requirements update in real time as user types,REQ-S5-REG-003,P2,Regression,User is on registration page password focused,,"1. Focus Password field | 2. Type a | 3. Type aB1! then aB1!aaaa","Requirement indicators update immediately as each rule is met. All criteria fulfilled after full valid password."
FunctionalTestCase-REG-004,User Registration,Password strength indicator shows Weak (20%),"REQ-S5-REG-004, REQ-BR-014",P3,Regression,User is on registration page,Password: a,"1. Navigate to /auth/register | 2. Enter password a","Strength indicator shows Weak. Progress bar ~20%."
FunctionalTestCase-REG-005,User Registration,Password strength indicator shows Moderate (40%),"REQ-S5-REG-004, REQ-BR-014",P3,Regression,User is on registration page,Password: aB,"1. Navigate to /auth/register | 2. Enter password aB","Strength indicator shows Moderate. Progress bar ~40%."
FunctionalTestCase-REG-006,User Registration,Password strength indicator shows Strong (60%),"REQ-S5-REG-004, REQ-BR-014",P3,Regression,User is on registration page,Password: aB1,"1. Navigate to /auth/register | 2. Enter password aB1","Strength indicator shows Strong. Progress bar ~60%."
FunctionalTestCase-REG-007,User Registration,Password strength indicator shows Very Strong (80%),"REQ-S5-REG-004, REQ-BR-014",P3,Regression,User is on registration page,Password: aB1!,"1. Navigate to /auth/register | 2. Enter password aB1!","Strength indicator shows Very Strong. Progress bar ~80%."
FunctionalTestCase-REG-008,User Registration,Password strength indicator shows Excellent (100%),"REQ-S5-REG-004, REQ-BR-014",P3,Regression,User is on registration page,Password: Welcome@123,"1. Navigate to /auth/register | 2. Enter password Welcome@123","Strength indicator shows Excellent. Progress bar 100%."
FunctionalTestCase-REG-009,User Registration,Successful registration with valid data,"REQ-S5-REG-006, REQ-BR-015",P1,Smoke,User not logged in unique email available,"Unique email + Welcome@123 + valid profile data","1. Navigate to /auth/register | 2. Fill all valid fields | 3. Submit","Account created. Redirected to /auth/login. Confirmation email sent."
FunctionalTestCase-REG-010,User Registration,Registration blocked for duplicate email,"REQ-S5-REG-005, REQ-BR-016",P1,Regression,User not logged in,Email: customer@practicesoftwaretesting.com,"1. Navigate to /auth/register | 2. Fill valid data with existing email | 3. Submit","Error: Email is already in use. Registration not completed."
FunctionalTestCase-REG-011,User Registration,Registration rejected with weak password,REQ-BR-013,P1,Regression,User on registration page,Password: password,"1. Fill valid data with weak password | 2. Submit","Submission blocked or validation error. Account not created."
FunctionalTestCase-REG-012,User Registration,Registration rejected with invalid email format,"REQ-S5-REG-001, REQ-BR-015",P2,Regression,User on registration page,Email: notanemail,"1. Fill valid data except invalid email | 2. Submit","Email validation error shown. Account not created."
FunctionalTestCase-REG-013,User Registration,Registration rejected when required fields empty,REQ-S5-REG-001,P2,Regression,User on registration page,All fields empty,"1. Navigate to /auth/register | 2. Submit without filling fields","Required field validation errors shown. Account not created."
